t [s];Tf [degC];P [W]
56220;23,20;9610
56280;23,21;9623
56340;23,21;9622
56400;23,21;9603
56460;23,21;9620
56520;23,22;9612
56580;23,21;9596
56640;23,22;9604
56700;23,22;9601
56760;23,22;9604
56820;23,22;9620
56880;23,23;9625
56940;23,23;9614
57000;23,22;9601
57060;23,23;9601
57120;23,23;9601
57180;23,23;9595
57240;23,23;9587
57300;23,23;9589
57360;23,23;9601
57420;23,24;9621
57480;23,23;9584
57540;23,23;9575
57600;23,24;9615
57660;23,25;9614
57720;23,24;9600
57780;23,24;9593
57840;23,24;9587
57900;23,25;9598
57960;23,25;9599
58020;23,26;9621
58080;23,26;9629
58140;23,26;9623
58200;23,26;9627
58260;23,26;9621
58320;23,26;9612
58380;23,26;9607
58440;23,26;9593
58500;23,26;9595
58560;23,27;9607
58620;23,27;9599
58680;23,27;9605
58740;23,28;9628
58800;23,28;9624
58860;23,28;9606
58920;23,28;9604
58980;23,28;9594
59040;23,28;9591
59100;23,28;9569
59160;23,30;9611
59220;23,30;9616
59280;23,30;9598
59340;23,30;9597
59400;23,30;9605
59460;23,29;9596
59520;23,29;9591
59580;23,30;9600
59640;23,29;9579
59700;23,30;9581
59760;23,31;9636
59820;23,32;9655
59880;23,32;9647
59940;23,32;9637
60000;23,32;9625
60060;23,32;9635
60120;23,32;9631
60180;23,32;9616
60240;23,33;9649
60300;23,33;9637
60360;23,33;9645
60420;23,33;9623
60480;23,33;9599
60540;23,34;9642
60600;23,35;9698
60660;23,35;9701
60720;23,35;9670
60780;23,35;9663
60840;23,35;9661
60900;23,35;9662
60960;23,35;9650
61020;23,35;9623
61080;23,36;9675
61140;23,38;9736
61200;23,37;9706
61260;23,37;9681
61320;23,36;9661
61380;23,36;9631
61440;23,36;9625
61500;23,36;9617
61560;23,36;9626
61620;23,36;9624
61680;23,37;9637
61740;23,38;9646
61800;23,38;9644
61860;23,38;9645
61920;23,38;9634
61980;23,38;9659
62040;23,39;9658
62100;23,38;9647
62160;23,39;9652
62220;23,38;9636
62280;23,39;9652
62340;23,38;9613
62400;23,38;9611
62460;23,39;9627
62520;23,39;9607
62580;23,39;9616
62640;23,39;9617
62700;23,40;9631
62760;23,40;9629
62820;23,41;9660
62880;23,41;9668
62940;23,41;9671
63000;23,41;9662
63060;23,41;9654
63120;23,41;9638
63180;23,42;9651
63240;23,42;9659
63300;23,41;9630
63360;23,41;9627
63420;23,41;9616
63480;23,41;9608
63540;23,42;9610
63600;23,41;9596
63660;23,42;9599
63720;23,42;9622
63780;23,43;9631
63840;23,43;9621
63900;23,43;9628
63960;23,43;9624
64020;23,43;9615
64080;23,44;9637
64140;23,44;9640
64200;23,44;9649
64260;23,44;9639
64320;23,44;9621
64380;23,43;9596
64440;23,43;9585
64500;23,46;9664
64560;23,45;9641
64620;23,46;9677
64680;23,46;9662
64740;23,46;9649
64800;23,45;9621
64860;23,46;9670
64920;23,48;9702
64980;23,48;9706
65040;23,48;9695
65100;23,47;9666
65160;23,43;9505
65220;23,42;9477
65280;23,43;9492
65340;23,47;9629
65400;23,49;9724
65460;23,45;9536
65520;23,43;9480
65580;23,40;9365
65640;23,43;9449
65700;23,44;9498
65760;23,45;9524
65820;23,45;9501
65880;23,46;9525
65940;23,46;9524
66000;23,46;9541
66060;23,51;9718
66120;23,53;9776
66180;23,51;9712
66240;23,51;9695
66300;23,51;9710
66360;23,51;9682
66420;23,50;9657
66480;23,50;9620
66540;23,49;9604
66600;23,49;9595
66660;23,49;9599
66720;23,50;9611
66780;23,49;9594
66840;23,50;9593
66900;23,50;9613
66960;23,50;9613
67020;23,50;9609
67080;23,50;9614
67140;23,50;9614
67200;23,51;9620
67260;23,51;9637
67320;23,52;9645
67380;23,51;9631
67440;23,51;9623
67500;23,51;9598
67560;23,52;9632
67620;23,52;9623
67680;23,53;9634
67740;23,53;9641
67800;23,53;9635
67860;23,53;9617
67920;23,53;9625
67980;23,54;9638
68040;23,54;9630
68100;23,53;9611
68160;23,54;9617
68220;23,54;9622
68280;23,54;9622
68340;23,54;9637
68400;23,54;9602
68460;23,54;9592
68520;23,54;9605
68580;23,53;9567
68640;23,54;9586
68700;23,54;9602
68760;23,55;9631
68820;23,56;9650
68880;23,56;9636
68940;23,55;9629
69000;23,56;9628
69060;23,56;9626
69120;23,56;9612
69180;23,55;9589
69240;23,56;9601
69300;23,55;9595
69360;23,56;9604
69420;23,56;9608
69480;23,56;9603
69540;23,57;9614
69600;23,57;9604
69660;23,56;9583
69720;23,57;9595
69780;23,58;9624
69840;23,58;9637
69900;23,58;9629
69960;23,58;9611
70020;23,59;9637
70080;23,58;9624
70140;23,58;9608
70200;23,59;9635
70260;23,57;9538
70320;23,57;9544
70380;23,57;9544
70440;23,63;9769
70500;23,63;9752
70560;23,62;9705
70620;23,61;9697
70680;23,62;9696
70740;23,62;9698
70800;23,62;9708
70860;23,62;9700
70920;23,62;9675
70980;23,62;9690
71040;23,62;9691
71100;23,62;9669
71160;23,62;9677
71220;23,62;9666
71280;23,62;9651
71340;23,61;9634
71400;23,62;9657
71460;23,62;9648
71520;23,62;9650
71580;23,62;9646
71640;23,62;9629
71700;23,63;9650
71760;23,62;9638
71820;23,63;9647
71880;23,63;9628
71940;23,63;9621
72000;23,64;9641
72060;23,63;9624
72120;23,64;9636
72180;23,64;9646
72240;23,65;9652
72300;23,65;9651
72360;23,64;9632
72420;23,64;9630
72480;23,65;9631
72540;23,65;9645
72600;23,65;9644
72660;23,65;9618
72720;23,65;9648
72780;23,65;9632
72840;23,65;9606
72900;23,66;9637
72960;23,65;9619
73020;23,66;9620
73080;23,67;9673
73140;23,68;9702
73200;23,68;9683
73260;23,67;9669
73320;23,67;9658
73380;23,67;9647
73440;23,63;9476
73500;23,63;9458
73560;23,64;9497
73620;23,63;9488
73680;23,65;9534
73740;23,66;9549
73800;23,66;9546
73860;23,66;9569
73920;23,67;9576
73980;23,67;9595
74040;23,67;9600
74100;23,67;9569
74160;23,67;9564
74220;23,68;9608
74280;23,68;9614
74340;23,68;9608
74400;23,68;9584
74460;23,68;9598
74520;23,68;9584
74580;23,69;9608
74640;23,69;9603
74700;23,70;9621
74760;23,70;9617
74820;23,70;9641
74880;23,70;9621
74940;23,70;9621
75000;23,70;9630
75060;23,70;9631
75120;23,70;9628
75180;23,70;9616
75240;23,70;9635
75300;23,71;9641
75360;23,71;9625
75420;23,71;9630
75480;23,70;9605
75540;23,69;9551
75600;23,69;9553
75660;23,71;9611
75720;23,71;9594
75780;23,71;9600
75840;23,71;9582
75900;23,71;9596
75960;23,72;9611
76020;23,72;9613
76080;23,72;9613
76140;23,72;9601
76200;23,72;9615
76260;23,72;9623
76320;23,73;9624
76380;23,73;9612
76440;23,73;9613
76500;23,73;9622
76560;23,73;9605
76620;23,73;9615
76680;23,74;9647
76740;23,74;9638
76800;23,74;9618
76860;23,74;9629
76920;23,75;9645
76980;23,75;9634
77040;23,75;9646
77100;23,75;9636
77160;23,75;9643
77220;23,75;9635
77280;23,75;9611
77340;23,74;9583
77400;23,75;9602
77460;23,75;9595
77520;23,75;9594
77580;23,75;9605
77640;23,75;9603
77700;23,76;9631
77760;23,76;9629
77820;23,76;9625
77880;23,76;9616
77940;23,76;9611
78000;23,77;9627
78060;23,77;9623
78120;23,77;9617
78180;23,77;9613
78240;23,77;9613
78300;23,77;9606
78360;23,77;9596
78420;23,77;9614
78480;23,78;9617
78540;23,78;9638
78600;23,78;9623
78660;23,79;9632
78720;23,79;9643
78780;23,79;9647
78840;23,79;9627
78900;23,78;9594
78960;23,79;9625
79020;23,79;9606
79080;23,79;9636
79140;23,80;9666
79200;23,80;9656
79260;23,80;9645
79320;23,81;9658
79380;23,81;9658
79440;23,80;9640
79500;23,81;9655
79560;23,81;9656
79620;23,81;9637
79680;23,82;9663
79740;23,82;9680
79800;23,81;9661
79860;23,78;9499
79920;23,75;9412
79980;23,85;9780
80040;23,84;9745
80100;23,84;9729
80160;23,84;9712
80220;23,84;9698
80280;23,85;9736
80340;23,85;9743
80400;23,84;9701
80460;23,84;9704
80520;23,84;9703
80580;23,84;9678
80640;23,83;9653
80700;23,84;9669
80760;23,84;9671
80820;23,84;9648
80880;23,84;9663
80940;23,84;9666
81000;23,84;9652
81060;23,84;9654
81120;23,84;9638
81180;23,84;9630
81240;23,85;9653
81300;23,85;9659
81360;23,85;9653
81420;23,85;9646
81480;23,85;9648
81540;23,86;9688
81600;23,82;9516
81660;23,82;9520
81720;23,83;9541
81780;23,83;9543
81840;23,84;9563
81900;23,83;9544
81960;23,84;9584
82020;23,84;9583
82080;23,85;9576
82140;23,85;9603
82200;23,85;9599
82260;23,86;9601
82320;23,86;9595
82380;23,86;9585
82440;23,86;9604
82500;23,87;9610
82560;23,87;9610
82620;23,87;9608
82680;23,87;9603
82740;23,87;9620
82800;23,87;9607
82860;23,87;9608
82920;23,88;9637
82980;23,89;9666
83040;23,89;9654
83100;23,88;9636
